n,h,m
178,470,N
924,2871,N
42,98,N
853,2650,N
2050,6962,N
806,2479,N
560,1655,N
1365,4423,N
2075,7054,N
878,2712,N
2234,7641,N
698,2117,N
2231,7619,N
981,3087,N
924,2894,N
1180,3779,N
1800,6017,N
1311,4269,N
929,2895,N
1190,3835,N
1554,5101,N
834,2572,N
565,1676,N
384,1097,N
344,969,N
1182,3788,N
1417,4608,N
36,79,N
1472,4813,N
951,2995,N
1179,3781,N
735,2258,N
1130,3618,N
1004,3175,N
1280,4128,N
1875,6291,N
352,996,N
2048,6945,N
1114,3573,N
1153,3677,N
1571,5199,N
2235,7624,N
729,2217,N
911,2859,N
1388,4485,N
849,2634,N
880,2731,N
1769,5906,N
1428,4690,N
969,3030,N
2260,7744,N
1778,5995,N
663,1995,N
547,1605,N
1751,5849,N
90,224,N
426,1237,N
1310,4242,N
13,25,N
2016,6815,N
1460,4772,N
2219,7583,N
2150,7329,N
1049,3322,N
1983,6711,N
1936,6520,N
861,2649,N
1692,5617,N
2092,7103,N
350,986,N
581,1745,N
2112,7168,N
2040,6910,N
2261,7753,N
1014,3174,N
554,1638,N
841,2589,N
275,757,N
231,627,N
1618,5387,N
1275,4138,N
1442,4766,N
1036,3262,N
1755,5851,N
1241,4010,N
35,80,N
880,2732,N
78,191,N
412,1201,N
1293,4162,N
524,1546,N
2236,7656,N
1803,6019,N
1774,5905,N
1158,3696,N
1276,4085,N
305,847,N
1595,5265,N
1909,6424,N
1883,6342,N
111,281,N
1040,3304,N
1065,3370,N
2263,7746,N
1675,5568,N
219,594,N
1192,3832,N
1906,6405,N
575,1696,N
572,1693,N
904,2846,N
1301,4224,N
403,1162,N
139,360,N
1457,4820,N
1783,5965,N
221,595,N
517,1521,N
1878,6306,N
1128,3589,N
2163,7376,N
437,1273,N
584,1729,N
502,1473,N
968,3052,N
202,539,N
179,477,N
1573,5215,N
167,442,N
1128,3584,N
1921,6441,N
522,1537,N
2197,7515,N
1082,3423,N
1837,6160,N
542,1602,N
663,2002,N
1954,6591,N
1674,5563,N
1338,4369,N
777,2372,N
745,2264,N
1720,5739,N
1013,3198,N
595,1791,N
2141,7275,N
60,145,N
1915,6463,N
865,2685,N
1778,5940,N
1206,3877,N
1467,4792,N
1162,3719,N
1912,6416,N
1713,5693,N
1649,5430,N
2019,6847,N
1297,4248,N
2124,7230,N
407,1174,N
587,1735,N
613,1833,N
147,380,N
192,513,N
1949,6572,N
1406,4587,N
1531,5075,N
366,1043,N
1386,4555,N
1569,5219,N
191,503,N
1902,6416,N
298,844,N
2214,7555,N
1506,4971,N
1572,5170,N
494,1449,N
2146,7315,N
1820,6090,N
1378,4481,N
146,380,N
1539,5061,N
1848,6163,N
2050,6941,N
789,2410,N
2208,7526,N
9,18,N
625,1861,N
1902,6405,N
9,17,N
793,2466,N
1839,6145,N
286,792,N
2017,6817,N
1611,5316,N
1512,4996,N
2092,7109,N
230,631,N
439,1281,N
55,124,N
448,1296,N
419,1207,N
1984,6692,N
975,3036,N
1479,4875,N
833,2574,N
1586,5226,N
1374,4507,N
997,3136,N
466,1369,N
2112,7164,N
216,581,N
253,692,N
2239,7655,N
704,2156,N
777,2385,N
143,374,N
1534,5023,N
105,260,N
1481,4889,N
1267,4065,N
1390,4505,N
168,441,N
1131,3594,N
660,1971,N
1131,3619,N
385,1108,N
1631,5385,N
2250,7697,N
827,2534,N
1447,4724,N
2105,7151,N
2037,6906,N
1322,4285,N
1138,3649,N
1928,6493,N
1696,5634,N
2227,7610,N
1574,5185,N
777,2392,N
457,1327,N
358,1022,N
629,1887,N
530,1568,N
1862,6255,N
1319,4302,N
976,3051,N
1313,4254,N
164,430,N
1282,4161,N
1266,4073,N
137,357,N
1208,3865,N
289,810,N
397,1140,N
1006,3155,N
1168,3730,N
328,916,N
914,2844,N
341,966,N
365,1037,N
1102,3486,N
2093,7095,N
62,145,N
1199,3821,N
1099,3515,N
1963,6624,N
2307,7915,N
113,280,N
1747,5788,N
383,1103,N
2239,7659,N
1693,5611,N
1115,3535,N
465,1366,N
1934,6540,N
2203,7513,N
132,339,N
486,1428,N
605,1820,N
1017,3187,N
59,139,N
1680,5645,N
596,1783,N
38,82,N
987,3090,N
93,229,N
1844,6234,N
1938,6527,N
1888,6347,N
936,2909,N
743,2290,N
1552,5163,N
1797,6049,N
1694,5628,N
627,1869,N
473,1381,N
1513,5003,N
1940,6545,N
2117,7197,N
264,724,N
1891,6349,N
936,2933,N
1111,3563,N
618,1848,N
612,1828,N
2226,7607,N
1837,6150,N
2239,7661,N
735,2236,N
1296,4181,N
420,1215,N
149,390,N
18,36,N
1117,3568,N
894,2779,N
972,3048,N
2234,7648,N
414,1186,N
1490,4912,N
1185,3816,N
82,198,N
1732,5779,N
474,1370,N
2147,7312,N
809,2478,N
2080,7066,N
2087,7091,N
1863,6242,N
1761,5854,N
49,110,N
2065,6995,N
257,709,N
837,2567,N
424,1225,N
2027,6863,N
1569,5225,N
1798,6007,N
1413,4574,N
2267,7763,N
89,217,N
1985,6693,N
1680,5565,N
353,1010,N
1794,5986,N
1936,6493,N
620,1853,N
104,261,N
960,3014,N
1345,4352,N
1941,6555,N
573,1715,N
126,315,N
606,1801,N
174,461,N
967,3043,N
180,478,N
60,138,N
2153,7314,N
1426,4689,N
1727,5742,N
567,1684,N
555,1641,N
1469,4853,N
1191,3807,N
1093,3468,N
1767,5876,N
2193,7490,N
1284,4153,N
1296,4228,N
1195,3825,N
1287,4184,N
1649,5513,N
2221,7574,N
72,173,N
848,2612,N
269,746,N
270,744,N
767,2353,N
1592,5293,N
206,555,N
1138,3631,N
1187,3830,N
1859,6238,N
231,631,N
1089,3434,N
1422,4688,N
1568,5200,N
1106,3489,N
385,1099,N
2160,7362,N
438,1266,N
1935,6500,N
766,2350,N
743,2281,N
548,1621,N
633,1909,N
995,3137,N
899,2791,N
1892,6355,N
600,1789,N
1393,4557,N
1474,4804,N
1044,3320,N
398,1144,N
97,241,N
310,868,N
1720,5719,N
442,1270,N
1104,3501,N
129,331,N
356,1015,N
2152,7329,N
2147,7302,N
995,3143,N
1882,6304,N
420,1211,N
1040,3281,N
813,2517,N
665,1994,N
15,30,N
2238,7650,N
1013,3197,N
262,724,N
1949,6546,N
1572,5239,N
1872,6288,N
406,1156,N
1455,4720,N
612,1828,N
1861,6245,N
284,784,N
1113,3568,N
2104,7165,N
1607,5299,N
2140,7280,N
904,2813,N
996,3103,N
1673,5551,N
1273,4140,N
1355,4428,N
1984,6688,N
1213,3878,N
315,890,N
1811,6077,N
2019,6811,N
798,2440,N
1363,4465,N
940,2932,N
1855,6234,N
37,80,N
1584,5196,N
1181,3774,N
182,488,N
1253,4072,N
30,64,N
1111,3531,N
584,1730,N
1397,4524,N
1703,5717,N
511,1495,N
2081,7052,N
553,1651,N
2087,7104,N
1156,3684,N
565,1682,N
1220,3903,N
1609,5320,N
1627,5406,N
2233,7653,N
2015,6814,N
1477,4824,N
2018,6831,N
786,2410,N
2279,7812,N
506,1505,N
610,1827,N
83,206,N
1737,5852,N
255,699,N
2103,7137,N
595,1775,N
160,416,N
301,852,N
1539,5131,N
2100,7137,N
1777,5914,N
258,716,N
2149,7302,N
1362,4451,N
512,1514,N
1864,6251,N
1052,3332,N
1765,5913,N
1276,4093,N
826,2553,N
309,869,N
261,722,N
853,2653,N
1627,5387,N
1554,5160,N
1354,4439,N
883,2734,N
835,2557,N
1328,4293,N
926,2895,N
888,2753,N
1137,3640,N
2198,7558,N
1245,4015,N
1146,3677,N
2169,7450,N
623,1856,N
1124,3582,N
949,2975,N
14,28,N
2267,7769,N
528,1538,N
1943,6601,N
567,1680,N
1018,3223,N
1878,6320,N
273,751,N
60,142,N
1576,5207,N
1491,4920,N
1645,5443,N
1124,3564,N
146,375,N
1847,6195,N
1546,5052,N
75,180,N
462,1346,N
1908,6404,N
396,1128,N
1118,3547,N
888,2763,N
1845,6187,N
389,1107,N
742,2268,N
540,1605,N
506,1486,N
2286,7834,N
2268,7766,N
1391,4523,N
809,2495,N
993,3134,N
1416,4657,N
1226,3912,N
1414,4628,N
203,540,N
792,2436,N
1983,6719,N
957,3019,N
1390,4510,N
1914,6427,N
1433,4680,N
1859,6242,N
2055,6964,N
913,2838,N
819,2540,N
1810,6068,N
2278,7807,N
1996,6745,N
855,2659,N
2180,7438,N
1626,5368,N
555,1639,N
2169,7411,N
190,501,N
1369,4430,N
374,1052,N
1512,4996,N
1912,6414,N
1422,4613,N
683,2073,N
2161,7370,N
1656,5469,N
1370,4462,N
1117,3560,N
1433,4666,N
1525,5002,N
2104,7125,N
1342,4378,N
1719,5704,N
1600,5266,N
1801,6028,N
186,496,N
1150,3659,N
917,2845,N
1798,5990,N
797,2462,N
1564,5186,N
1557,5101,N
1753,5844,N
1853,6210,N
1170,3750,N
528,1546,N
8,15,N
1381,4495,N
65,149,N
1925,6469,N
822,2526,N
1179,3747,N
215,579,N
1538,5040,N
1884,6325,N
1771,5924,N
1544,5064,N
799,2449,N
882,2726,N
901,2819,N
2126,7220,N
1778,5922,N
1997,6749,N
1176,3751,N
1245,4004,N
829,2555,N
1318,4267,N
141,367,N
811,2503,N
1078,3410,N
1799,6001,N
981,3065,N
2174,7391,N
1930,6479,N
2125,7220,N
447,1299,N
541,1602,N
2123,7210,N
694,2093,N
162,428,N
1811,6057,N
129,332,N
1937,6520,N
1819,6081,N
1815,6056,N
1357,4407,N
2164,7353,N
433,1260,N
57,133,N
681,2066,N
2138,7258,N
2121,7194,N
566,1670,N
2298,7860,N
480,1397,N
1568,5173,N
1801,6009,N
852,2628,N
314,885,N
1099,3487,N
1382,4477,N
1533,5057,N
62,149,N
648,1948,N
2084,7070,N
2072,7014,N
696,2100,N
1137,3620,N
1088,3455,N
2038,6886,N
1314,4281,N
544,1612,N
1337,4321,N
1828,6121,N
794,2449,N
2259,7712,N
1448,4732,N
53,126,N
764,2329,N
807,2486,N
1009,3176,N
651,1950,N
632,1892,N
153,398,N
713,2160,N
154,401,N
1986,6706,N
437,1256,N
2236,7632,N
418,1210,N
1302,4216,N
2262,7721,N
429,1237,N
1827,6102,N
754,2299,N
2186,7452,N
965,3039,N
1857,6237,N
655,1993,N
1178,3766,N
1379,4450,N
683,2064,N
1731,5760,N
1302,4176,N
1208,3850,N
165,435,N
1123,3551,N
450,1293,N
1037,3272,N
740,2245,N
2265,7737,N
929,2903,N
246,671,N
1916,6444,N
703,2141,N
887,2731,N
2142,7294,N
1297,4182,N
2308,7905,N
1004,3166,N
667,2005,N
2039,6874,N
1650,5467,N
1362,4447,N
636,1905,N
39,87,N
1708,5676,N
35,75,N
617,1845,N
871,2697,N
486,1418,N
1314,4240,N
1492,4909,N
185,496,N
827,2575,N
1475,4794,N
124,312,N
1927,6480,N
1666,5486,N
814,2511,N
2063,6989,N
304,848,N
288,804,N
217,586,N
1573,5185,N
1748,5819,N
371,1057,N
116,296,N
1488,4865,N
2056,6954,N
2124,7203,N
480,1385,N
539,1605,N
400,1148,N
177,471,N
147,381,N
421,1210,N
820,2511,N
66,158,N
292,801,N
1890,6344,N
1680,5560,N
578,1706,N
1424,4664,N
716,2172,N
902,2802,N
2132,7239,N
2181,7428,N
442,1283,N
657,1972,N
1180,3762,N
2079,7034,N
1840,6150,N
114,284,N
852,2618,N
969,3043,N
1721,5698,N
1682,5581,N
1186,3810,N
70,165,N
1563,5137,N
1317,4267,N
878,2725,N
1444,4709,N
2209,7531,N
238,651,N
998,3125,N
1295,4179,N
143,375,N
1232,3945,N
915,2858,N
1231,3977,N
1259,4058,N
1370,4435,N
2016,6811,N
561,1657,N
430,1242,N
957,2984,N
1172,3740,N
2,3,N
2115,7191,N
303,843,N
