n,h,m
134,340,N
1796,5984,N
1061,3346,N
1384,4505,N
59,138,N
1808,6040,N
1635,5404,N
259,710,N
381,1090,N
2156,7341,N
495,1447,N
2262,7729,N
548,1618,N
301,838,N
1696,5626,N
2254,7704,N
167,444,N
1786,5954,N
1009,3161,N
1487,4891,N
355,1007,N
1828,6131,N
1290,4176,N
1734,5761,N
625,1880,N
1282,4172,N
2244,7657,N
1525,5017,N
1872,6287,N
550,1621,N
854,2643,N
816,2518,N
841,2590,N
1733,5753,N
2245,7669,N
2097,7097,N
1248,3997,N
1558,5167,N
423,1215,N
2265,7748,N
2174,7411,N
785,2394,N
1319,4296,N
462,1353,N
95,232,N
1112,3522,N
1718,5690,N
280,773,N
160,419,N
413,1181,N
332,927,N
2301,7869,N
2227,7606,N
546,1609,N
1801,5996,N
912,2851,N
2275,7783,N
1615,5340,N
1498,4906,N
996,3109,N
2231,7613,N
1770,5877,N
476,1389,N
1493,4930,N
555,1645,N
108,273,N
1268,4099,N
2216,7550,N
863,2679,N
1438,4676,N
2193,7478,N
1980,6678,N
2142,7272,N
199,539,N
2159,7341,N
994,3142,N
1320,4255,N
1643,5434,N
912,2837,N
715,2173,N
263,726,N
578,1706,N
619,1846,N
2240,7649,N
1427,4650,N
1586,5220,N
1526,5006,N
1917,6428,N
932,2893,N
727,2210,N
324,922,N
2002,6749,N
1594,5244,N
1140,3606,N
1063,3353,N
2238,7636,N
1459,4773,N
1831,6119,N
1366,4466,N
1799,5998,N
1684,5569,N
991,3110,N
1184,3789,N
2130,7241,N
70,170,N
873,2715,N
559,1661,N
41,95,N
1290,4164,N
871,2697,N
534,1580,N
1789,5965,N
1440,4683,N
2176,7406,N
1417,4614,N
73,174,N
1479,4829,N
105,268,N
1690,5621,N
141,364,N
2203,7509,N
914,2865,N
712,2159,N
1970,6657,N
1211,3911,N
851,2633,N
971,3049,N
1737,5775,N
2192,7469,N
2082,7043,N
2244,7673,N
735,2241,N
26,56,N
31,65,N
815,2517,N
1868,6261,N
1728,5752,N
1345,4361,N
149,383,N
190,504,N
298,821,N
1874,6291,N
876,2717,N
182,481,N
645,1944,N
685,2078,N
1262,4070,N
2291,7842,N
789,2414,N
1078,3412,N
2114,7172,N
584,1752,N
2093,7086,N
409,1178,N
861,2661,N
122,312,N
1470,4796,N
2257,7702,N
35,77,N
53,122,N
2187,7442,N
1249,4032,N
1536,5062,N
1167,3710,N
20,41,N
1658,5484,N
708,2134,N
703,2112,N
1111,3528,N
2140,7251,N
360,1018,N
1971,6632,N
1298,4214,N
1585,5224,N
1210,3869,N
127,326,N
1807,6013,N
1852,6193,N
553,1632,N
147,380,N
1314,4228,N
678,2043,N
1286,4130,N
1606,5281,N
220,594,N
104,257,N
495,1442,N
629,1893,N
2282,7808,N
1157,3664,N
1909,6424,N
726,2207,N
713,2177,N
2230,7619,N
1734,5763,N
505,1466,N
1922,6446,N
1063,3362,N
1556,5139,N
1866,6254,N
490,1427,N
1837,6150,N
2285,7820,N
1295,4172,N
78,187,N
2302,7878,N
2214,7551,N
46,104,N
1357,4388,N
61,142,N
1042,3280,N
2177,7414,N
1988,6702,N
1508,4940,N
2086,7054,N
1254,4066,N
678,2064,N
610,1831,N
1894,6372,N
192,507,N
255,698,N
2131,7232,N
1991,6721,N
301,835,N
65,156,N
559,1639,N
1271,4113,N
2012,6787,N
1050,3331,N
806,2497,N
1760,5854,N
1683,5567,N
1205,3852,N
1445,4741,N
340,958,N
267,741,N
994,3107,N
1178,3781,N
2144,7286,N
1486,4904,N
576,1698,N
1059,3347,N
324,912,N
399,1141,N
1432,4651,N
749,2273,N
575,1722,N
483,1411,N
1813,6053,N
2106,7144,N
1022,3212,N
1510,4917,N
1598,5275,N
14,28,N
1115,3545,N
785,2415,N
1311,4269,N
162,424,N
2032,6873,N
2019,6831,N
1222,3895,N
771,2355,N
2068,7006,N
424,1214,N
1588,5220,N
57,134,N
281,773,N
1751,5833,N
1200,3844,N
803,2480,N
485,1415,N
520,1516,N
707,2142,N
1854,6210,N
1209,3883,N
1797,5990,N
1008,3153,N
117,296,N
1738,5768,N
1717,5687,N
696,2115,N
1902,6400,N
776,2377,N
1673,5531,N
1247,3993,N
686,2084,N
2195,7471,N
1421,4639,N
552,1631,N
887,2765,N
23,48,N
1008,3171,N
1156,3680,N
1902,6379,N
1964,6613,N
1363,4420,N
1589,5255,N
1643,5436,N
1511,4935,N
886,2749,N
1841,6151,N
307,860,N
1918,6432,N
1207,3858,N
2239,7645,N
1832,6118,N
2144,7297,N
1172,3756,N
1638,5410,N
2050,6919,N
1447,4714,N
1615,5373,N
57,133,N
368,1054,N
1730,5771,N
104,257,N
1169,3738,N
2109,7162,N
294,815,N
1028,3255,N
1220,3890,N
1386,4509,N
1431,4645,N
447,1299,N
774,2375,N
803,2462,N
1819,6074,N
1496,4898,N
1293,4171,N
1833,6145,N
842,2609,N
868,2697,N
511,1502,N
31,67,N
1275,4122,N
1169,3724,N
86,211,N
450,1308,N
926,2874,N
1090,3443,N
284,787,N
1973,6655,N
1842,6152,N
831,2570,N
256,694,N
965,3018,N
70,164,N
984,3072,N
1922,6470,N
475,1363,N
1954,6573,N
1101,3488,N
2086,7073,N
1627,5375,N
535,1574,N
1838,6151,N
2233,7622,N
1657,5490,N
734,2245,N
185,495,N
1097,3455,N
428,1238,N
656,1988,N
1503,4936,N
129,328,N
2300,7879,N
1796,5983,N
1161,3721,N
817,2504,N
1081,3402,N
2039,6900,N
986,3104,N
560,1675,N
749,2286,N
1554,5122,N
1052,3319,N
2300,7876,N
563,1674,N
1896,6371,N
1853,6206,N
1952,6563,N
78,192,N
40,87,N
1557,5133,N
1383,4490,N
1723,5736,N
1522,4986,N
216,582,N
1863,6236,N
908,2842,N
1334,4346,N
1653,5459,N
151,393,N
1896,6359,N
315,884,N
1972,6626,N
1746,5807,N
2183,7432,N
544,1616,N
695,2100,N
314,880,N
152,402,N
1304,4199,N
2078,7024,N
1615,5334,N
1433,4662,N
1034,3254,N
430,1249,N
720,2189,N
1108,3515,N
1684,5555,N
1640,5416,N
2003,6770,N
907,2825,N
1454,4789,N
309,867,N
1379,4522,N
652,1975,N
2291,7838,N
690,2077,N
1044,3289,N
696,2100,N
1504,4941,N
471,1366,N
718,2166,N
1141,3623,N
227,622,N
1003,3148,N
865,2680,N
754,2314,N
1131,3592,N
1568,5147,N
640,1914,N
1489,4889,N
2245,7664,N
812,2496,N
408,1167,N
1379,4497,N
1117,3575,N
2064,6992,N
11,22,N
141,359,N
711,2170,N
952,2973,N
1970,6626,N
2246,7668,N
1683,5565,N
1274,4103,N
1464,4795,N
2133,7244,N
721,2191,N
1574,5185,N
61,144,N
158,415,N
1780,5912,N
645,1947,N
2271,7767,N
1586,5286,N
106,269,N
556,1647,N
2214,7559,N
958,2989,N
850,2621,N
1439,4720,N
102,254,N
1949,6548,N
792,2423,N
2121,7201,N
1866,6249,N
2212,7533,N
2074,7014,N
1453,4740,N
878,2722,N
1588,5224,N
439,1270,N
1797,6004,N
1117,3576,N
1673,5536,N
1454,4740,N
9,18,N
1883,6308,N
1006,3158,N
2127,7226,N
2138,7279,N
1626,5357,N
435,1263,N
529,1553,N
2181,7427,N
2185,7444,N
1977,6660,N
1213,3848,N
1435,4671,N
2227,7599,N
977,3066,N
753,2293,N
1020,3204,N
2236,7631,N
614,1843,N
1959,6579,N
1316,4248,N
1969,6639,N
160,423,N
1519,4983,N
1778,5928,N
1142,3619,N
2110,7164,N
1328,4302,N
26,56,N
900,2787,N
1660,5500,N
535,1575,N
746,2292,N
2074,7021,N
1477,4839,N
2184,7440,N
55,128,N
2022,6811,N
1152,3667,N
248,672,N
2294,7847,N
946,2945,N
1989,6694,N
1449,4727,N
2245,7671,N
599,1786,N
609,1818,N
987,3091,N
1015,3211,N
335,942,N
2163,7353,N
771,2353,N
2046,6928,N
542,1608,N
1348,4360,N
2276,7779,N
1857,6203,N
926,2910,N
214,580,N
704,2156,N
2137,7247,N
252,690,N
406,1165,N
1269,4071,N
1630,5385,N
1760,5824,N
1040,3270,N
1303,4203,N
860,2656,N
1309,4227,N
637,1916,N
1523,5023,N
1817,6081,N
1305,4239,N
316,885,N
1789,5948,N
998,3147,N
295,827,N
1185,3783,N
1348,4377,N
568,1692,N
2016,6806,N
484,1417,N
2220,7571,N
1708,5657,N
325,910,N
1920,6441,N
999,3143,N
1916,6444,N
860,2669,N
1252,4034,N
773,2375,N
778,2376,N
1072,3391,N
965,3022,N
936,2935,N
682,2060,N
2253,7692,N
799,2455,N
394,1115,N
1145,3659,N
620,1866,N
1094,3458,N
1752,5818,N
1156,3694,N
702,2112,N
1063,3378,N
1003,3137,N
47,106,N
43,96,N
611,1827,N
718,2167,N
1914,6420,N
1107,3536,N
1006,3144,N
614,1847,N
1808,6029,N
915,2832,N
417,1206,N
1593,5254,N
1294,4184,N
142,374,N
1974,6662,N
2077,7043,N
1172,3750,N
1168,3730,N
1814,6059,N
1904,6373,N
292,813,N
1747,5795,N
1268,4075,N
829,2559,N
898,2786,N
309,856,N
2113,7168,N
2206,7534,N
397,1141,N
197,533,N
376,1058,N
2270,7761,N
2179,7413,N
2258,7716,N
892,2765,N
762,2320,N
1411,4593,N
1689,5586,N
1882,6315,N
1046,3291,N
2255,7694,N
1680,5560,N
1971,6629,N
486,1421,N
2153,7325,N
1658,5481,N
1224,3935,N
1507,4942,N
1403,4582,N
2063,6985,N
695,2098,N
359,1016,N
1601,5293,N
1078,3399,N
967,3033,N
99,247,N
248,677,N
700,2124,N
991,3127,N
1472,4826,N
1259,4066,N
737,2236,N
215,575,N
479,1404,N
426,1230,N
1768,5870,N
144,371,N
300,839,N
721,2184,N
583,1736,N
1456,4776,N
654,1966,N
1560,5120,N
480,1405,N
2003,6767,N
140,359,N
802,2463,N
2115,7167,N
96,235,N
909,2820,N
834,2578,N
2281,7803,N
1700,5626,N
833,2569,N
249,680,N
1852,6199,N
647,1942,N
2047,6933,N
1977,6676,N
2180,7411,N
1801,6016,N
1139,3635,N
1838,6141,N
208,556,N
787,2417,N
1259,4052,N
620,1855,N
2039,6893,N
503,1484,N
877,2731,N
830,2576,N
554,1635,N
912,2818,N
625,1867,N
287,794,N
731,2235,N
2023,6832,N
1101,3502,N
1812,6044,N
38,84,N
900,2777,N
1721,5712,N
1685,5588,N
1871,6275,N
915,2856,N
2060,6974,N
2192,7460,N
1327,4273,N
1720,5700,N
1622,5364,N
1650,5425,N
1199,3851,N
1910,6403,N
2188,7457,N
1855,6189,N
1666,5500,N
114,289,N
1784,5943,N
833,2577,N
611,1816,N
1298,4183,N
710,2161,N
551,1634,N
542,1604,N
1466,4823,N
986,3076,N
1764,5868,N
1170,3739,N
318,878,N
1864,6255,N
553,1639,N
228,628,N
1857,6201,N
568,1669,N
297,827,N
1224,3932,N
837,2595,N
1918,6438,N
1165,3702,N
422,1203,N
654,1962,N
1359,4426,N
792,2441,N
277,761,N
840,2604,N
1757,5841,N
2293,7853,N
63,146,N
134,343,N
601,1791,N
485,1416,N
1860,6227,N
391,1114,N
2299,7869,N
1671,5530,N
1744,5805,N
2132,7247,N
1953,6560,N
1627,5349,N
855,2638,N
1839,6141,N
89,217,N
601,1797,N
1808,6029,N
967,3058,N
624,1866,N
1114,3534,N
1927,6461,N
131,332,N
1010,3167,N
277,768,N
1375,4444,N
819,2525,N
628,1879,N
1279,4108,N
2289,7831,N
383,1088,N
1200,3826,N
331,927,N
833,2575,N
904,2808,N
2155,7328,N
1134,3631,N
769,2348,N
2033,6870,N
2291,7841,N
2213,7551,N
2059,6976,N
398,1136,N
277,764,N
1894,6335,N
126,318,N
1528,5011,N
655,1974,N
1580,5204,N
1810,6042,N
2155,7322,N
940,2936,N
1732,5748,N
324,901,N
1432,4660,N
2219,7568,N
1252,4030,N
1279,4132,N
1612,5298,N
2309,7898,N
2273,7774,N
2092,7092,N
1965,6623,N
1594,5298,N
330,922,N
921,2870,N
2053,6948,N
874,2707,N
774,2376,N
1531,5008,N
1013,3184,N
2164,7343,N
1799,5989,N
1490,4930,N
2148,7296,N
586,1739,N
56,133,N
814,2515,N
97,242,N
2087,7081,N
1837,6146,N
1567,5143,N
637,1921,N
1987,6702,N
783,2403,N
118,304,N
669,2012,N
1827,6107,N
1845,6185,N
1890,6365,N
1679,5559,N
1204,3857,N
551,1634,N
1657,5505,N
912,2827,N
1403,4600,N
801,2445,N
1424,4632,N
1112,3539,N
719,2175,N
1444,4724,N
451,1312,N
237,648,N
583,1736,N
2308,7906,N
2083,7057,N
1190,3829,N
1089,3459,N
806,2485,N
694,2084,N
992,3123,N
2135,7249,N
1356,4404,N
459,1334,N
956,2989,N
1018,3194,N
2008,6788,N
299,830,N
1572,5163,N
2055,6954,N
636,1910,N
772,2350,N
1386,4502,N
1747,5812,N
1147,3661,N
591,1758,N
1624,5361,N
1560,5130,N
1737,5771,N
535,1590,N
1148,3674,N
674,2011,N
1288,4193,N
1781,5955,N
816,2509,N
249,686,N
483,1400,N
2025,6829,N
802,2471,N
2289,7832,N
1847,6179,N
556,1648,N
2298,7862,N
2219,7568,N
936,2924,N
1948,6537,N
2200,7491,N
1289,4148,N
142,371,N
1333,4309,N
53,127,N
1577,5181,N
582,1732,N
1385,4493,N
1273,4094,N
2218,7574,N
1767,5897,N
1939,6530,N
1946,6532,N
1691,5613,N
1492,4874,N
1744,5809,N
948,2953,N
1136,3634,N
1204,3890,N
735,2234,N
898,2798,N
1675,5556,N
1307,4202,N
798,2478,N
658,1971,N
83,202,N
191,511,N
1942,6521,N
1227,3920,N
1089,3463,N
1127,3594,N
1155,3679,N
607,1814,N
1095,3465,N
1096,3513,N
1876,6266,N
996,3134,N
1509,4970,N
104,264,N
785,2411,N
2006,6753,N
1889,6348,N
2107,7150,N
1816,6105,N
1761,5881,N
1060,3370,N
1128,3599,N
1785,5937,N
682,2062,N
2104,7136,N
867,2690,N
263,724,N
1020,3195,N
1868,6251,N
807,2470,N
88,215,N
405,1161,N
438,1260,N
1976,6666,N
883,2752,N
1766,5880,N
2201,7497,N
1536,5031,N
761,2327,N
1987,6707,N
746,2282,N
1103,3501,N
1617,5338,N
1060,3343,N
1654,5483,N
1487,4849,N
676,2049,N
1946,6541,N
1768,5887,N
1144,3667,N
806,2483,N
208,561,N
862,2665,N
2204,7520,N
1305,4218,N
1813,6030,N
1888,6333,N
222,607,N
1514,4999,N
218,584,N
980,3043,N
2285,7815,N
182,490,N
339,966,N
506,1475,N
432,1246,N
1349,4404,N
467,1373,N
974,3045,N
86,211,N
1745,5806,N
157,415,N
2033,6865,N
192,510,N
663,1994,N
2093,7097,N
1577,5216,N
1359,4440,N
1389,4514,N
2017,6824,N
2302,7881,N
2004,6743,N
1940,6519,N
2088,7085,N
1399,4534,N
2131,7232,N
1880,6286,N
189,497,N
1733,5753,N
1399,4551,N
1821,6088,N
1694,5598,N
1935,6515,N
2245,7672,N
1227,3938,N
967,3015,N
1887,6319,N
741,2255,N
1947,6536,N
597,1781,N
2021,6822,N
164,434,N
1306,4230,N
143,371,N
2259,7722,N
1342,4343,N
252,691,N
624,1870,N
500,1469,N
940,2942,N
1231,3931,N
1538,5046,N
1812,6049,N
596,1768,N
423,1220,N
1888,6344,N
2177,7416,N
605,1794,N
1067,3377,N
1222,3920,N
2018,6792,N
645,1951,N
1404,4574,N
104,260,N
1104,3492,N
1112,3542,N
1457,4802,N
683,2062,N
403,1156,N
351,997,N
2111,7155,N
251,682,N
601,1788,N
2000,6732,N
554,1630,N
1223,3909,N
2281,7801,N
211,560,N
2104,7125,N
686,2095,N
1376,4504,N
1082,3422,N
1111,3527,N
1120,3561,N
1973,6641,N
436,1257,N
2193,7454,N
2180,7429,N
1968,6612,N
395,1130,N
1017,3195,N
1397,4542,N
2131,7252,N
496,1437,N
247,678,N
1250,4013,N
58,136,N
2194,7468,N
752,2304,N
1681,5581,N
792,2431,N
721,2188,N
248,682,N
1211,3871,N
433,1262,N
2280,7794,N
795,2433,N
2031,6851,N
882,2756,N
484,1402,N
2049,6915,N
185,498,N
1171,3736,N
2271,7764,N
1840,6159,N
1796,5984,N
2219,7571,N
542,1591,N
354,1003,N
2001,6749,N
643,1928,N
1572,5180,N
560,1656,N
1075,3405,N
1065,3373,N
1659,5490,N
1765,5865,N
675,2025,N
167,440,N
1196,3836,N
2240,7642,N
1278,4150,N
354,1004,N
705,2144,N
903,2816,N
2060,6958,N
2211,7534,N
2211,7546,N
2172,7398,N
1810,6055,N
522,1540,N
1582,5216,N
1706,5654,N
1774,5906,N
1337,4317,N
530,1566,N
1805,6022,N
2114,7167,N
2128,7222,N
1202,3842,N
323,901,N
912,2826,N
1622,5349,N
543,1596,N
181,478,N
1919,6452,N
160,418,N
555,1642,N
1540,5043,N
1891,6337,N
953,2994,N
267,734,N
1995,6730,N
2038,6894,N
1510,4933,N
1916,6424,N
1482,4847,N
1480,4861,N
1703,5623,N
535,1576,N
1708,5673,N
1695,5624,N
402,1158,N
1398,4536,N
910,2808,N
2232,7619,N
356,1007,N
1467,4817,N
247,674,N
1863,6244,N
45,101,N
2129,7232,N
2217,7566,N
823,2544,N
224,605,N
366,1039,N
1445,4700,N
148,382,N
2235,7619,N
2134,7262,N
1521,4983,N
1816,6051,N
1062,3357,N
473,1370,N
335,946,N
1949,6554,N
155,408,N
279,775,N
447,1282,N
2263,7734,N
403,1165,N
996,3135,N
1225,3920,N
660,1984,N
1780,5929,N
1690,5593,N
1725,5737,N
1754,5821,N
800,2447,N
245,667,N
1221,3896,N
1026,3230,N
1910,6405,N
1101,3502,N
1905,6377,N
2059,6959,N
1827,6119,N
1333,4317,N
1675,5543,N
367,1048,N
1865,6246,N
651,1956,N
1116,3558,N
2187,7442,N
1984,6688,N
424,1225,N
1703,5657,N
1300,4210,N
1305,4213,N
2205,7509,N
1056,3348,N
824,2518,N
1967,6622,N
1899,6375,N
600,1790,N
2270,7762,N
2056,6953,N
591,1777,N
1064,3353,N
1636,5386,N
50,115,N
605,1800,N
1221,3926,N
1292,4169,N
2261,7726,N
2102,7147,N
1322,4261,N
941,2949,N
1728,5743,N
1855,6196,N
2043,6913,N
934,2927,N
865,2676,N
983,3089,N
1142,3634,N
773,2369,N
610,1825,N
662,2005,N
2118,7189,N
496,1431,N
1627,5361,N
1686,5600,N
841,2592,N
2163,7350,N
2057,6945,N
884,2746,N
1395,4549,N
2062,6979,N
1177,3758,N
1389,4546,N
324,911,N
1922,6459,N
1142,3642,N
610,1821,N
128,326,N
2255,7707,N
1232,3949,N
1091,3471,N
1084,3442,N
721,2169,N
393,1129,N
970,3044,N
2100,7120,N
748,2283,N
222,600,N
373,1060,N
1872,6262,N
1924,6473,N
2246,7670,N
2015,6797,N
2206,7513,N
993,3107,N
1310,4248,N
168,447,N
276,766,N
429,1243,N
397,1138,N
130,333,N
1164,3717,N
393,1121,N
1099,3465,N
1415,4616,N
147,380,N
1297,4182,N
591,1753,N
302,835,N
759,2322,N
2016,6818,N
723,2198,N
786,2394,N
1049,3306,N
1906,6391,N
2155,7323,N
1941,6512,N
2179,7415,N
1506,4923,N
2066,7007,N
1594,5271,N
752,2309,N
2081,7046,N
695,2088,N
2029,6856,N
1248,4038,N
602,1798,N
819,2501,N
2157,7327,N
1863,6247,N
1738,5774,N
1505,4962,N
739,2252,N
1519,4973,N
1124,3548,N
159,414,N
209,562,N
1669,5585,N
271,744,N
1407,4617,N
1788,5961,N
1872,6281,N
142,370,N
1365,4415,N
1115,3537,N
2295,7854,N
1966,6617,N
660,1970,N
1005,3153,N
446,1286,N
1230,3956,N
760,2334,N
1523,4998,N
427,1238,N
467,1374,N
712,2161,N
337,962,N
1081,3432,N
519,1527,N
1981,6677,N
2112,7146,N
2035,6885,N
2111,7145,N
1829,6112,N
1389,4532,N
751,2274,N
612,1810,N
1906,6386,N
1922,6449,N
163,425,N
2200,7499,N
715,2183,N
9,18,N
1414,4624,N
2093,7084,N
667,2021,N
1452,4715,N
1779,5936,N
901,2838,N
116,292,N
96,241,N
440,1269,N
2111,7161,N
798,2441,N
1346,4351,N
2005,6767,N
169,446,N
1226,3923,N
474,1379,N
964,2993,N
207,554,N
2117,7184,N
2187,7440,N
1702,5643,N
1953,6560,N
111,276,N
921,2876,N
1986,6696,N
549,1634,N
842,2590,N
917,2857,N
1981,6673,N
1760,5849,N
80,190,N
1105,3500,N
2004,6759,N
253,697,N
1861,6232,N
158,411,N
1,1,N
1724,5731,N
810,2467,N
1606,5345,N
149,390,N
830,2567,N
750,2278,N
755,2293,N
460,1344,N
1316,4268,N
934,2915,N
1974,6650,N
2242,7645,N
789,2413,N
165,435,N
879,2717,N
509,1490,N
665,1996,N
1009,3172,N
1954,6584,N
2258,7719,N
347,977,N
1661,5505,N
300,830,N
1970,6654,N
70,168,N
1029,3268,N
1814,6043,N
363,1033,N
26,55,N
692,2090,N
2028,6852,N
1156,3705,N
2074,7027,N
1681,5571,N
2251,7686,N
703,2119,N
1133,3597,N
936,2913,N
1191,3807,N
2095,7110,N
394,1132,N
1060,3381,N
169,451,N
2285,7812,N
670,2039,N
267,733,N
1516,5004,N
1304,4226,N
341,954,N
728,2216,N
1506,4927,N
1983,6666,N
901,2827,N
919,2865,N
1900,6385,N
1855,6228,N
1724,5717,N
1322,4301,N
1817,6067,N
88,219,N
301,836,N
4,7,N
173,455,N
1128,3578,N
722,2205,N
1505,4970,N
1555,5142,N
443,1285,N
800,2453,N
959,3000,N
1798,5989,N
1586,5219,N
657,1969,N
269,739,N
1383,4512,N
648,1935,N
1318,4255,N
243,662,N
1342,4350,N
419,1204,N
670,2031,N
589,1752,N
703,2123,N
1984,6687,N
1598,5246,N
408,1180,N
305,851,N
2229,7609,N
451,1310,N
1098,3476,N
849,2631,N
2040,6887,N
721,2177,N
2144,7282,N
1305,4191,N
440,1275,N
2159,7339,N
2067,6995,N
1418,4609,N
167,436,N
1776,5927,N
1535,5038,N
801,2476,N
1552,5137,N
1222,3937,N
2056,6975,N
462,1339,N
225,615,N
125,320,N
1877,6270,N
1072,3403,N
1873,6262,N
1460,4765,N
38,84,N
1271,4079,N
1830,6111,N
261,716,N
667,2008,N
1854,6206,N
1662,5547,N
1136,3635,N
1245,4007,N
2191,7466,N
509,1489,N
113,282,N
940,2944,N
37,80,N
252,700,N
1341,4347,N
1313,4238,N
1665,5509,N
627,1874,N
398,1135,N
1579,5200,N
28,60,N
1932,6497,N
1327,4297,N
1153,3672,N
1666,5502,N
754,2296,N
444,1289,N
718,2163,N
1676,5518,N
2099,7109,N
23,50,N
1355,4379,N
346,983,N
1378,4477,N
1946,6533,N
1343,4364,N
1525,5029,N
6,11,N
1211,3886,N
1753,5846,N
1147,3662,N
1408,4553,N
53,120,N
1992,6707,N
84,203,N
911,2815,N
221,603,N
68,159,N
427,1227,N
2127,7218,N
1990,6716,N
2239,7641,N
2106,7138,N
359,1018,N
1909,6439,N
1371,4453,N
381,1087,N
43,95,N
304,855,N
902,2792,N
289,796,N
1909,6412,N
2173,7392,N
1219,3917,N
800,2461,N
1705,5659,N
1785,5958,N
1221,3926,N
464,1353,N
570,1700,N
645,1934,N
1429,4662,N
1839,6146,N
640,1937,N
25,52,N
1557,5112,N
1956,6570,N
1611,5324,N
739,2255,N
2201,7495,N
820,2535,N
918,2850,N
1895,6372,N
320,902,N
390,1120,N
1342,4348,N
880,2741,N
2189,7460,N
1248,4006,N
1073,3391,N
1179,3762,N
525,1553,N
477,1391,N
834,2568,N
99,240,N
2257,7721,N
638,1914,N
2015,6799,N
665,2001,N
794,2457,N
1650,5443,N
1426,4672,N
1574,5200,N
233,628,N
1743,5828,N
1997,6744,N
1803,6020,N
938,2941,N
1394,4551,N
515,1505,N
227,616,N
725,2226,N
17,34,N
1734,5770,N
1734,5757,N
926,2883,N
1763,5905,N
585,1739,N
428,1244,N
804,2461,N
1451,4716,N
1083,3440,N
1767,5891,N
25,53,N
1467,4792,N
1418,4643,N
650,1962,N
1272,4094,N
1114,3539,N
314,873,N
998,3135,N
972,3029,N
872,2694,N
849,2616,N
406,1168,N
1581,5212,N
1609,5313,N
391,1137,N
1054,3324,N
1209,3859,N
268,734,N
2069,7021,N
1078,3409,N
1505,4915,N
1299,4212,N
1716,5705,N
1917,6431,N
404,1159,N
650,1946,N
2062,6970,N
2130,7239,N
54,124,N
2243,7660,N
2090,7083,N
359,1018,N
53,123,N
412,1187,N
246,676,N
1602,5276,N
83,204,N
1074,3411,N
1989,6718,N
524,1533,N
2025,6836,N
1806,6041,N
1244,3968,N
742,2250,N
1989,6697,N
897,2794,N
1450,4743,N
1867,6250,N
426,1232,N
1988,6709,N
2130,7226,N
1288,4153,N
651,1956,N
288,789,N
1988,6753,N
2159,7338,N
2098,7114,N
2193,7464,N
203,547,N
361,1018,N
975,3078,N
2244,7672,N
785,2404,N
2070,7015,N
963,3019,N
207,554,N
559,1667,N
462,1337,N
577,1720,N
2243,7654,N
1895,6362,N
442,1274,N
881,2745,N
1543,5095,N
46,105,N
1586,5273,N
184,494,N
1727,5731,N
357,1013,N
239,653,N
743,2276,N
1270,4076,N
2060,6960,N
1932,6492,N
887,2774,N
61,141,N
2209,7531,N
732,2247,N
40,88,N
1166,3741,N
252,695,N
944,2971,N
490,1427,N
189,497,N
2258,7712,N
342,971,N
631,1888,N
505,1480,N
1758,5865,N
1923,6477,N
1637,5412,N
2047,6917,N
1167,3717,N
1977,6654,N
1449,4732,N
1592,5261,N
2115,7178,N
1347,4356,N
24,51,N
587,1742,N
1081,3420,N
1281,4159,N
1577,5177,N
193,517,N
1895,6359,N
1807,6021,N
19,38,N
1432,4661,N
1132,3606,N
1915,6434,N
2074,7036,N
2232,7614,N
2092,7100,N
334,936,N
1070,3378,N
92,224,N
707,2139,N
1480,4868,N
1081,3421,N
464,1352,N
2135,7249,N
1308,4213,N
589,1750,N
1887,6317,N
677,2033,N
2186,7444,N
742,2263,N
2081,7061,N
649,1948,N
1973,6648,N
2035,6883,N
1470,4854,N
1931,6491,N
1258,4043,N
366,1044,N
1814,6060,N
865,2686,N
2079,7047,N
642,1943,N
2053,6944,N
2136,7258,N
799,2452,N
1714,5696,N
1148,3675,N
1416,4639,N
1278,4111,N
477,1373,N
253,696,N
1415,4593,N
1580,5191,N
1394,4535,N
383,1090,N
245,668,N
1909,6410,N
1222,3898,N
628,1880,N
941,2940,N
1635,5391,N
616,1845,N
2283,7808,N
362,1033,N
791,2445,N
2197,7485,N
1752,5825,N
1985,6677,N
952,2982,N
1571,5201,N
1526,5001,N
1647,5437,N
414,1188,N
2104,7124,N
1584,5218,N
1556,5110,N
1546,5077,N
2253,7690,N
680,2046,N
2127,7209,N
435,1249,N
1310,4236,N
1950,6573,N
1932,6490,N
1214,3906,N
443,1277,N
588,1754,N
693,2111,N
1545,5062,N
317,895,N
661,1997,N
1071,3375,N
523,1541,N
1706,5646,N
530,1563,N
1778,5934,N
442,1273,N
1986,6701,N
93,229,N
1154,3688,N
27,56,N
1704,5669,N
55,125,N
1143,3678,N
1543,5107,N
1104,3498,N
2267,7748,N
671,2032,N
327,920,N
1173,3754,N
1688,5579,N
522,1535,N
1419,4596,N
381,1080,N
1123,3565,N
1866,6250,N
2073,7023,N
776,2371,N
720,2193,N
77,188,N
1053,3317,N
2129,7230,N
2082,7046,N
2178,7404,N
931,2902,N
1211,3897,N
1075,3387,N
80,195,N
1751,5843,N
1706,5669,N
36,78,N
75,175,N
1975,6646,N
2215,7552,N
1568,5169,N
326,911,N
696,2094,N
444,1296,N
284,786,N
1468,4793,N
1884,6317,N
1082,3422,N
1818,6056,N
452,1303,N
1872,6287,N
143,367,N
1530,5024,N
655,1986,N
2301,7878,N
533,1577,N
374,1071,N
628,1887,N
1454,4728,N
1215,3880,N
1020,3213,N
1812,6044,N
1799,6003,N
