n,h
335,945.6666666666666
336,945.8
337,953.1428571428571
338,954.2222222222222
339,956.0833333333334
340,956.7142857142857
341,962.5
342,965.1818181818181
343,968.0
344,970.25
345,970.625
346,979.0
347,981.5
348,984.4444444444445
349,985.5
350,988.7142857142857
351,993.1111111111111
352,1000.5
353,1000.5
354,1000.875
355,1007.2857142857143
356,1008.1666666666666
357,1013.0
358,1015.0
359,1015.8
360,1022.8571428571429
361,1024.6
362,1029.0666666666666
363,1029.0666666666666
364,1034.5333333333333
365,1034.5333333333333
366,1037.875
367,1047.25
368,1049.375
369,1050.0
370,1050.0
371,1058.388888888889
372,1058.388888888889
373,1060.6
374,1065.5
375,1066.8
376,1072.5714285714287
377,1075.0
378,1078.0
379,1082.7
380,1082.7
381,1086.2307692307693
382,1089.857142857143
383,1095.1666666666667
384,1098.08
385,1098.08
386,1098.08
387,1102.8
388,1104.6666666666667
389,1109.0
390,1114.7777777777778
391,1118.8
392,1123.5714285714287
393,1123.5714285714287
394,1125.125
395,1133.4444444444443
396,1137.0
397,1138.6
398,1143.55
399,1143.55
400,1147.25
401,1150.0
402,1155.3333333333333
403,1156.3636363636363
404,1157.4
405,1161.0
406,1164.75
407,1168.3333333333333
408,1173.4117647058824
409,1173.4117647058824
410,1177.4
411,1181.3333333333333
412,1186.6666666666667
413,1187.375
414,1190.5555555555557
415,1191.3333333333333
416,1195.6666666666667
417,1201.1666666666667
418,1204.7142857142858
419,1205.5714285714287
420,1208.6666666666667
421,1214.7692307692307
422,1215.142857142857
423,1219.4285714285713
424,1220.7777777777778
425,1225.75
426,1228.2666666666667
427,1230.6
428,1234.090909090909
429,1241.5833333333333
430,1243.5
431,1245.1764705882354
432,1245.1764705882354
433,1250.7142857142858
434,1257.375
435,1258.0
436,1260.4
437,1260.8
438,1269.2
439,1271.6842105263158
440,1271.6842105263158
441,1276.2
442,1279.1666666666667
443,1283.6666666666667
444,1284.875
445,1284.875
446,1292.6666666666667
447,1295.375
448,1295.375
449,1300.0
450,1300.0
451,1307.8181818181818
452,1310.625
453,1311.375
454,1314.5
455,1322.375
456,1327.0
457,1330.25
458,1330.25
459,1331.875
460,1337.25
461,1340.4
462,1344.4285714285713
463,1350.0
464,1351.6
465,1353.7142857142858
466,1359.3636363636363
467,1361.0666666666666
468,1361.0666666666666
469,1363.8
470,1366.6666666666667
471,1366.6666666666667
472,1377.375
473,1380.4
474,1380.4
475,1386.8
476,1387.5
477,1393.6666666666667
478,1394.8333333333333
479,1398.0588235294117
480,1398.0588235294117
481,1402.0
482,1402.0
483,1409.2
484,1413.3636363636363
485,1414.75
486,1423.5384615384614
487,1428.7368421052631
488,1428.7368421052631
489,1433.076923076923
490,1433.076923076923
491,1433.3333333333333
492,1436.3333333333333
493,1443.0
494,1446.25
495,1446.7777777777778
496,1446.7777777777778
497,1457.375
498,1458.9411764705883
499,1458.9411764705883
500,1464.8181818181818
501,1464.8181818181818
502,1471.25
503,1477.8333333333333
504,1479.8333333333333
505,1483.4
506,1483.4
507,1483.909090909091
508,1488.1
509,1493.125
510,1500.2666666666667
511,1500.2666666666667
512,1503.0833333333333
513,1504.875
514,1510.625
515,1510.625
516,1513.3333333333333
517,1522.8
518,1529.6153846153845
519,1529.6153846153845
520,1530.6666666666667
521,1534.3333333333333
522,1535.142857142857
523,1541.0
524,1542.2
525,1549.5
526,1551.8333333333333
527,1551.8333333333333
528,1552.3333333333333
529,1560.1
530,1564.578947368421
531,1564.578947368421
532,1565.888888888889
533,1570.0
534,1576.4705882352941
535,1576.4705882352941
536,1580.3333333333333
537,1587.5
538,1589.0
539,1594.6666666666667
540,1594.6666666666667
541,1594.6666666666667
542,1600.3636363636363
543,1605.4285714285713
544,1607.0
545,1607.0
546,1614.9
547,1619.375
548,1623.7142857142858
549,1624.5
550,1625.857142857143
551,1632.6666666666667
552,1635.3333333333333
553,1637.8333333333333
554,1637.8333333333333
555,1641.8333333333333
556,1651.4285714285713
557,1651.75
558,1652.625
559,1656.4285714285713
560,1665.3125
561,1665.3125
562,1665.923076923077
563,1668.3636363636363
564,1672.6666666666667
565,1675.75
566,1678.2
567,1682.4285714285713
568,1685.25
569,1691.142857142857
570,1691.2
571,1697.3125
572,1697.3125
573,1704.142857142857
574,1705.75
575,1709.0
576,1709.857142857143
577,1715.8461538461538
578,1715.8461538461538
579,1721.6666666666667
580,1721.6666666666667
581,1730.75
